,Komentar
737,"

Terima kasih Pak, janjimu BBM tidak naik sungguh nyata adanya.
Terima kasih juga buat para Pejabat, semoga TUNJANGAN gaji kalian membuat kalian makin sejahtera dan tidak SEMAKIN TERJEPIT seperti kami kaum miskin.
"
738,"

Cuma penyesuaian hahay...
"
739,"

Biarin dia makan daging kita makan kulit muda mudaan Kga kena kokestrol
"
740,"

 @Suara Baru  mamam tuh pujaan kalian wkwkwk
"
741,"

Rakyat jadi korban terus ...pejabat kerjanya pada tidur makan gaji buta
"
742,"

Kaum miskin tuh kerjaannya nonton YouTube yah, beli kuota mampu beli beras ngeluh
"
743,"

Kaum miskin kug bisa internetan,, 
"
744,"

Negara-negara lain juga mengalami kenaikan BBM akibat perang Ukraina. Biosolar adalah solusi BBM masa depan.
"
745,"

 @Suara Baru  Makan Tu sampah . .  Walaupun berat 10 ribu/liter  insya Allah saya kuat masih bisa  ... Tapi ingat itu hasil pilihan mu
"
746,"

Makan ga makan seng penting jokowi, urusan bbm naik, harga kebutuhan pokok naik bukan urusan saya. Yg penting pajak naik subsidi dikurangi untuk IKN tercinta
"
747,"

 @D r  angkat aj sekalian seumur hidup wkwkkw
"
748,"

 @D r  
Membangun IKN mmg butuh pengorbanan, sbgaimana membangun Ibu Kota Jakarta,,
"
749,"

Utk kesekian kalinya di era pak jokowi bbm naik. Tapi, gk prnh kliatan lgi yak... yg demo bawa panci & nangis2 
"
750,"

Kita jangan memikirkan diri kita sendiri bos.indonesia ini banyak penduduknya,kalau di subsidi terus akan menjadi beban negara apalagi menggunakan APBN.apabila semua orang berpikir sesuai dengan pemikiranmu,maka kita ini akan melangkah ke kemiskinan mendatang secara perlahan,karena tanggungan pemerintah semakin berat.kita harua malu pada saudara2 kita yg hidup di bagian timur sebelum bbm ke harga 10rb.mereka sudah rasakan terlebih dahulu harga bbm 10rb bahkan diatas 10rb.apa mereka salahkan pemerintah?TIDAK.selama BBM tersedia dan bisa untuk di gunakan sdah sangat syukur.mari kita dukung apa yang menjadi keputusan pemerintah.
"
751,"

 @28 28  lha emang kalo Prabowo yg jadi presiden, BBM kagak naek nyet???? 

"
752,"

Rakyat yang dulu pilih jokowi dilarang mengeluh, karena harus bertanggung jawab dengan pilihan anda sendiri 
"
753,"

Mantap, ditunggu smpai tembus 50k per liter 
"
754,"

Terimaksih telah manaikan bbm dengan gaji segitu segitu aja... Bapak dan ibu sungguh hebat memimpin bangsa ini
"
755,"

Menaikkan BBM saat koruptor besar2an sedang terjadi di lingkungan Rezim.sungguh ironi.benar2 tidak mempunyai hati nurani.ya Allah lindungi rakyat Indonesia dari keterpurukan akibat rezim yg tidak amanah.
"
756,"

Mohon maap kaum pesimis.. Jng bermimpi seumur hidup d subsidi terus, Dunia sudah berubah. Semoga subsidinya dpt d alihkan ketempat yg lbh tepat
"
757,"

Rezim kadrun
"
758,"

2014 saya ke prabowo 
2019 saya milih jokowi 
Sekarang saya menyesal 2019 milih jokowi 
"
759,"

Presiden teh inii.mensejahtrakan rakyat nya mantaff
"
760,"

Alhamdulillah akhirnya BBM naik juga pertanda rakyat udah makmur dan yang demo dulu nggak mau demo lagi karena udah dapat yang diinginkan karena waktu demo dulu cuma pencitraan saja untuk dapat jabatan yang diinginkan selamat menikmati hasil demo dulu
"
761,"

Mantap dan sukses bagi pemilihnya yg menjadikan presiden, selamat menikmati kenyataan yg sedap2 dan terus saja agung2 kan supaya bulan depan BBM naik lagi
"
762,"

......harga bbm naik alhamdulillah
Aku pedagang K5 yg nggak pernah dpt bantuan,ttp semangat dan memaklumi situasi ekonomi dunia,untuk kebaikan negri  OK.
....negara akan kuat jika rakyat pantang putus asa,...babgsa petarung tdk mudah  putus asa.
"
763,"

Tahun 2023, ahok mempresentasikan bhawa tahun 2022 pertamina mengalami kenaikan profit trilyunan. Dan buzerr dengan bangganya menyampaikan hasil kinerja ahox.
"
764,"

mending pindah ke yang RON 89 aja ah 8.900
drpd pakai pertalite 10rb tp dibilang subsidi....
hadeuh siapa mensubsidi siapa sih sebenernya?
"
765,"

Kan dulu ga diprediksi bakal ada perang Rusia vs Ukrainia yg menyebabkan hrg pangan serta minyak bumi menjadi mahal
"
766,"

Itu di jalanin bbrp hari juga dah ++triliunan
"
767,"

Ahok itu hoak, napi jadi pejabat kok dipercaya.
"
768,"

 @Gatot Sunardi84  anggota DPRD sama dpr jg hoak om. Mrk byk korupsi Dan byk yg dipenjara. Dr korupsi, pelecehan seksual, dll
"
769,"

Dasar Hukum penyusunan APBD ini diatur dalam UU No.32 Tahun 2003 tentang Pemerintah Daerah dan Undang-Undang Nomor 33 Tahun 2004 tentang Perimbangan Keuangan antara Pemerintah Pusat dan Pemerintah Daerah membuka peluang yang luas bagi daerah untuk mengembangkan dan membangun daerahnya sesuai dengan kebutuhan dan prioritasnya masing-masing.

Ditetapkannya kedua undang-undang tersebut berarti daerah memiliki tanggung jawab atas pengalokasian dana yang dimiliki dengan cara yang efisien dan efektif. Khususnya, dalam upaya peningkatan kesejahteraan dan pelayanan umum kepada masyarakat.

Ayoo dong Bpk RI masa ia BBM terus yg di tindas naik,harus nya ada anggaran biaya anggota DPR yg di kontrol sehingga bisa membantu Ekonomi Indonesia.
"
770,"

Ngomong ke DPR , mau gak dipotong tunjangannya? Pak presiden kalo ngelunjak maen potong bisa dipecat sama DPR
"
771,"

Tambang minyaknya emas Nikel batu bara uang pajak , Kl buat gaji ratusan triliun untuk presiden dan jajaran masih sangat cukup, lalu lalu di kemanakan uangnya
"
772,"

Disimpan buat pensiunan mereka wkwk
"
773,"

Terimaksih banyak bapak yang terhormat untuk selalu mensejahterakan para pejabat di negri ini.... rakyat selalu dermawan untuk selalu bersedekah kepada para pejabat di negri dongeng ini
"
774,"

Ya Allah... rakyat dermawan 
"
775,"

semoga para pejabat tambah makmur,terima kasih atas kinerja nya.
"
776,"

Kalau keputusannya pembangunan IKN dibatalkan lebih tepat Pak, sehingga BBM  tetap bisa disubsidi tidak perlu naik. 
IKN ga terlalu urgensi kok Pak, Rakyat sih yang penting tetap bisa makan bisa hidup sejahtera.
"
777,"

Alhamdulilah pemerintah sekarang sudah mutlak menyangi masyarakatnya biar tambah menjerit dengan meratapi kemiskinan,terimakasih pa presiden sy dukung untuk 3 periodenya
"
778,"

Baru aja bernafas setelah 2 tahun mati2an karena pandemi, kerjaan masih ga jelas pak de luar biasa dalam menambah kesengsaraan rakyat, setelah hari ini BBM naik siap2 harga sembako dan lain nya akan naik dgn alibi karena BBM naik. Luar biasa negeri ini
"
779,"

Alhamdulillah BBM naik semoga rakyat Indonesia di mampukan oleh Allah SWT untuk membeli BBM dan di mampukan dari segi ekonomi Aminn
"
780,"

Kalau gak mampu gak mungkin anda beli hp trus comen di sini 
"
781,"

Aamiin..
"
782,"

Aamiin yra
"
783,"

 @ANAK JAWA  cakeeepppp
"
784,"

 @ANAK JAWA  hp itu kebutuhan bg..
jadi kalau ga mampu itu ga punya hp ya bg?
"
785,"

Oke aamiin
"
786,"

امين يارب العالمين
"
787,"

 @dedi riyan  BBM itu kebutuhan apa gak??
"
788,"

 @dedi riyan  
Pokok nya Jokowi ga pernah salah Dimata pemujanya  titik
"
789,"

Ingat bro harga BBM gak semahal Brembo mu
"
790,"

 @Justin Rafael oxy  gak ada punya puja dia sama² makan nasi bro mati juga
"
791,"

 @dedi riyan  ya lu Beli hp hnya butuh lu gak peduli mahal 
Kalau anda butuh BBM tinggal beli gak peduli mahal
"
792,"

Bbm naek malah bersyukur.? Aneh
Dulu bbm naek 500 perak pada nangis semua.. 
"
793,"

 @ANAK JAWA  komen bahlul, bagi saya hp itu kebutuhan buat dagang, ketika harga harga naik mau ga mau saya harus tambah modal, sedang daya beli menurun karna harga harga kebutuhan lainnya pasti meroket.
"
794,"

 @Dody Saputra   beli hp buat  dagang  ada kala nya lu rugi dan untung sama seperti negara ini ada kala nya rugi dan untung lu UKMK barang sembako naik ya lu naik kan juga pas lu jual biar pengeluaran dan pendapatan lu se imbang gak rugi² amat  yg bahlol ini siapa?
"
795,"

 @ANAK JAWA  iy bg .. itu pikiran pemrintah sama kayak komen abang...naikin aja bbm ntar rakyat pasti beli juga...walaupun mahal kan kebuthan iya ga bg?
"
796,"

 @ANAK JAWA  oh iy bg hp saya hape kelas ayam sayur second harga 600rb bayar 3× pula..mau komen nebeng wifi orang...
"
797,"

 @ANAK JAWA  
Kenapa sikit kali naikin nya cuma 10rb, 100 ribu perliter pun gpp , kalo gua mampu karna berduit kerja , kasihan juga yg ngojek yg supir angkot BBM naik , ya otomatis ongkosnya naik juga
"
798,"

 @Justin Rafael oxy   aku bukan banteng gak tau bro mngkin coba ² dulu Rp 10 
"
799,"

 @Justin Rafael oxy  ya btul intinya di naikan juga ksihan juga mreka biar pendapatan nya naik juga
Tapi harus nya pemerintah naikkan juga pendapat rakyat walaupun 2 Rp kan lumayan
"
800,"

 @dedi riyan  apa lagi saya bang hp saya layar nya di karetin hasil gibah pulak lbih miskin saya bang
"
801,"

 @ANAK JAWA  
"
802,"

 @ANAK JAWA  
Penumpanga nya kasihan juga , anak SD contohnya naik angkot anak SMP naik ojek kan jajan mereka dari orang tua nya
"
803,"

 @Justin Rafael oxy  ya mungkin ksih tarif husus pelajar berapa untuk penumpang dewasa berapa
"
804,"

Mulailah beralih ke kendaraan listrik. Tapi pemerintah harus mendukung penuh dari hulu sampai hilir. Kalo motor nya sudah ada, penjualnya sudah ada, maka bengkel dan suku cadang nya harus tersedia secara merata di setiap pelosok kota di seluruh Indonesia. Beri bantuan agar lebih banyak industri suku cadang kendaraan listrik dan lebih banyak tenaga untuk membuka bengkel bagi kendaraan listrik
"
805,"

Nanti subsidi listriknya juga ngikut dihapus brooh
"
806,"

Mobil listrik merek Esemka sdh di expor koQ
"
807,"

Sudah ada pak . Di kerjaan saya sudah pakai motor listrik buat operasional
"
808,"

Murah ya Wo kendaraan listrik?? Mau ngirit malah keluar anggaran lagi,
"
809,"

Menunggu tangisan puan Maharani BBM naik .. 

"
810,"

Kompensasi 600 rb buat rakyat miskin dipakai makan  2 Minggu bs  habis...kenaikan BBM berlangsung terus menerus...ya Allah semoga rakyat Indonesia sehat selalu dan dilancarkan rezekinya..Aamiin
"
811,"

dari dulu setiap ada kenaikan pasti koar koar...

dan nyatanya masih bisa makan masih bisa idup.. hanya saja harus lebih keras lagi bekerja...

dulu kita juga pernah mengalami situasi ini, dan nyatanya mampu bertahan dan melewati hingga sampai pada fase kenaikan selanjutnya seperti saat ini... hahahahahahaaaaa.. nikmati aja.. gak usah koar sana sini gak ada gunanya..
buang buang energi..
kalo laper beli makan mahal..
beras mahal telor mahal semua pasti mahal.. jadi hemat hemat energi aja..

nikmati aja ngeluh juga percuma. mati juga percuma teriak juga percuma.. toh kalo bbm turun juga yang laen gak akan turun j.. tetap mahal... kan kan kan iya kan.. nyatanya gituh.. 


ya sudahlah..
"
812,"

Aduh pak pres, napa BBM yang d subsidi naik non subsidi d turunin??? Abis naik apakah nanti bakal d hapus kaya premium?? Mantap pak pres terbaik lah pokoknya.... 
"
813,"

Terima kasih buat bapak ku, untuk bapak ku apa yang diperbuat oleh rakyat ini..............pencapaian terhebat dan berhasil, good luck brader
"
814,"

Penjajah skrg lebih kjam dr jepang
"
815,"

Ayo naikan lagi teruss mantap.pak lurah Joss the king of lips service
"
816,"

Maunya murah terus ya?
"
817,"

 @RIGEL  jadi lu mau mahal y..
"
818,"

Menyesuaikan saja....gak usah ribet jangan terlalu nyaman ditempat aman.
"
819,"

 @RIGEL  gw dukung pertalite naik menjadi 30 ribu perliter.
"
820,"

 @putra asgar 123  : dia pura2 bahagia
"
821,"

 @Amat  ga mungkinlah...kl ngomong ga pake logika
"
822,"

Boleh naik,korupsi bayar mati
"
823,"

Wkwkwk
"
824,"

 @putra asgar 123  Klo lo paham sih ga bakalan nanya kaya gini sih
"
825,"

 @Amat  Bagus biar orang kaya ga nikmatin subsidi,tp ga segoblok ini sih
"
826,"

 @RIGEL  kalo lu paham pemerintah menyengsarakan rakyat ... Gk bakal ada komen ke d atas
"
827,"

 @putra asgar 123  Menyengsarakan kaya gimana nih?Bisa dijelaskan kenapa bisa sengsara?
"
828,"

Alhamdulillah pak Jokowi dulu anti bantuan langsung tunai sekarang buat andalan prestasi yg luar biasa pak Jokowi
"
829,"

Termakasih atas kerja kerasnya untuk menyengsarakan kami rakyat kecil
"
830,"

Semoga pemerintah tetap memperhatikan mempertimbangkan kepentingan rakyat
"
831,"

Menhancurkan dari dalam terimah kasih pak jokowi . Prestasi anda luar biasa kami  sebagai rakyat amat bersyukur bahkan menaangis dengan frestasi bapak , para pendukung rezim ini terimah kasih karna anda sudah menyusahkan masyarakat semoga kalian semua panjang umur .. Sekali lagi terimah kasih
"
832,"

Sama2
"
833,"

Akhirnya diprank kmaren mau demo katanya gak naik rupanya sekarang naik terima kasih juga untuk BLT 
"
834,"

Tolong juga pa kebocoran uang negara dicegah koruptor dibasmi mafia proyek apbn dan kurangin proyek2 yg tidak terkait dengan kehidupan rakyat kecil. Mksh dan smg kita semua diberikan kekuatan
"
835,"

Semoga saya sehat semangat dan  di beri rizqi yang lebih ...
Buat temen2 semangat mengadapi hari2 yang sulit..
Yang kurang sehat semoga di berikan kesehatan ..
"
836,"

Aamiin
"
837,"

Kami harapan sasaran bansos tepat sasaran dan jangan pilih kasih semoga Ibu mensos mengerahkan jajarannya sampai tingkat daerah Kabupatèn dan Kota di Indonesia
"
838,"

Pemerintahan mu top pak
1. Kenaikan harga kebutuhan pelan tapi pasti
2. Mafia didalam makin berkembang biak.
Tolong lebih teliti,tegas dan cerdas pak.
Matur nuwun 
"
839,"

yg dulu nagis di zaman pak SBY gara"" naik BBM sekarang diem aja ya nta pun senyum"" betul kaga... BBM kepajagan nya bub mega.
"
840,"

Saya wakilkan jawab
""Bukan urusan saya""
Klo semua tanya saya,terus saya tanya siapa
"
841,"

Apakah anda lebih cerdas dan ada solusinya?
"
842,"

 @Vivien Imoet  saya bayar mereka lewat pajak supaya cari solusi yg sebijak-bijaknya
"
843,"

@vivien imoet otak anda jg di pake agar sedikit lebih bisa mencerna dan cerdas 
"
844,"

 @Tuan Besar  mereka itu siapa? Negara tdk akan maju klu otaknya seperti anda
"
845,"

 @Dj_ mbut  saya mencerna dg sebaik2nya, dan secara logika karena saya ingin negara bisa lebih maju lagi.. Dan rakyat harusnya complain donk ke DPR SUPAYA GAJO MEREKA DIPOTONG BUAT SUBSIDI TDK HANYA MENYALAHKAN SEORANG PRESIDEN SAJA. PRESIDEN YG SKRG MENURUT SAYA LEBIH BAIK DRPD SEBELUMNYA.
"
846,"

hahaha upaya pemerintahan bapa untuk rakyat supaya sejahatera  sudah kami rasakan terimakasih pak 
"
847,"

Ketika sudah di putuskan ya mau apalagi, kita berdoa saja semoga bangsa ini tetap berjaya...
"
848,"

Kami pekerja swasta hanya bisah menikmati keputusan pemerintah atas kenaikan BBM yang cukup membebani hidup kita.sedangkan sisi lain para PNS dan DPR gaji terus naik.
"
849,"

Tajamnya ke bawah pak, sampeyan top 
"
850,"

Sayangnya bantuan dr negara 70℅ tdk tpt sasaran pak.yg punya usaha dan punya mobil dapat bantuan sedangkan yg bnr2 mmbutuhkan hanya gigit jari.yg setuju like
"
851,"

Saya tetap dukung pemerintah,jgn dipengaruhi sekelompok,tetapi keadilan lbh ditegakkan ,jgn diberi waktu bagi tukangkorupsi,ayo kerja keras ,tanpa kerja keras hidup takkan maju,️️️️️️,oraet labora
"
852,"

Berita yang sangat suka cita dan menggembirakan bagi yg di tunjuk utk membagikan BLT..... 
"
853,"

Terimakasih untuk presiden telah membuat rakyat miskin seperti kami menangis,,untuk makan pun kami susah,, tapi biaya kehidupan semakin mahal,, BANTUAN yg anda berikan itu tolong di cek lagi karna sampai saat ini banyak masyarakat yg bnar bnar membutuh kan tidak mendapatkan bantuan,, malah rakyat yg berkecukupan yg dpat.
"
854,"

Melindungi gimana nie
"
855,"

Saya juga miskin...
Tapi ngakengeluh seperti pengemis kayak kamu....
Intinya bukan kaya atau miskin...
Tetapi kamu mau berusaha apa tidak,,.!!!!
"
856,"

Miskin tp pake hp bisa nonton youtube

Apa mental nya yg miskin ingin slalu di subsidi
"
857,"

bisa pke hp ada kuota buat nonton youtube, tp buat makan sehari2 susah?  dagelan
"
858,"

Drun drun
"
859,"

Gimana dengan Honorer pak, tolong dibantu agar TDK di hapus, Bumi, tanah air, di kuasai negara dan di pergunakan sebesar nya buat kemakmuran masyarakat RI, negara punya Harta pak, dahulu kan kepentingan masyarakat, bayarlah Honorer dari Hasil hasil Bumi Negeri Ini, Merdeka....
"
860,"

Bapak President Jokowi dan ibu President sekeluarga yg sehat yaaa semoga sang maha pencipta ALLAH YEHUWA selalu memberkati melalui Yesus kristus amiin
"
861,"

Ayo semangat naikan Lagi.... 
Indonesia Bisa Indonesia Bangkit...
"
862,"

Kita sebagai warga negara Indonesia patut bersyukur semuga Allah menambah kan nikmat, enak ya kita tidak di kena kan kontra /pajak per kepala seperti di luar Negeri Alhamdulillah, hidup itu proses, usaha, jngn menuntut /me nyalah""kan, Kita wajib kerja keras gigih berusaha insyaallah hidup kt dimudahkan Allah SWT
"
863,"

Yah ....memang harus demikian....jangan bisanya menuntut aja.  Pemerintah dah berusaha utk memajukan  NKRI
"
864,"

Lucu baca komentar"" mereka yang ga siap .. 
Makanya SDM nya ditingkatkan bro.. ga cuma mager mainan game, judi, ngelus"" ayam, nyemprotin burung, kongkow"" ga penting.. 

Naiknya BBM berdampak positif :
1. Mengurangi macet karena orang akan lebih bijak menggunakan BBM hanya untuk kepentingan yg urgent 

2. Orang akan mulai terbiasa dan sadar untuk mematikan mesin motornya saat diperlintasan kereta.

3. Mengurangi aktivitas rider trap trip vespa, CB, dan geng motor lainnya serta balap"" liar juga akan berkurang

4. Mengurangi beban subsidi negara, karena yang dikasih subsidi pada teriak pemerintah suka utang, padahal utang tersebut untuk mensubsidi BBM mereka.. pemerintah utang untuk kebutuhan subsidi mereka teriak, giliran ga ambil utang dan subsidi dikurangi mereka teriak juga, maunya mereka nganggur ngelus"" ayam, nyemprotin burung, tapi digaji sama negara 

5. Mengurangi jumlah pemakaian Quota konsumsi BBM agar sebagian beralih kefasilitas negara yaitu BUS gratis yang tersedia dikota"" besar..

Kalau mau disubsidi lagi ya pemerintah harus ambil utang lagi buat nyuapin mulut kalian yang hobi dan demen disubsidi.. kalau ga mau negara terbeban hutang ya subsidi dikurangi.. sebelum nyalahin Koruptor negara ingat koruptor terbesar adalah mereka yang HOBI DAN DEMEN dimanja dengan subsidi karena merekalah KORUPTOR SEJATI dinegara ini dan menjadi beban negara serta menghambat bangsa ini untuk maju akibat SDM mereka tidak pernah bisa berkembang.. 

Semangat buat bangsaku.. semoga tidak bergantung dengan SUBSIDI lagi dan bisa meningkatkan SDM kalian untuk dimasa yang akan datang.
"
